category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,ui_customization,downloads,66,1681,-4781007.264876607,-229670.0,-0.31146886313561495,0.03823777395642465,0.014794073894459525,0.8729082132677951,obsidian,0.8787878787878788,False
specific,ui_customization,rating,4,1007,-14.23759118654997,0.012648582458496094,-0.41235012558767037,0.9337837981438462,,,obsidian,0.8787878787878788,True
specific,ui_quality_of_life,stars,46,1703,-2247.9553856366006,-329.0,-0.278433796416613,3.1626569161607256e-08,-0.019533764469583215,0.9217823066323612,minecraft,1.0,False
specific,ui_quality_of_life,downloads,46,1701,14061235.080246914,15158005.5,0.9244100369346807,6.039340090394983e-19,-0.042848039660190684,0.7389412193991067,minecraft,1.0,False
specific,ui_quality_of_life,rating,43,968,-19.079442058038136,-4.239205236434937,-0.5558661013523121,3.801017108169403e-15,,,minecraft,1.0,False
specific,ui_theming,stars,32,1717,-1477.4359165695982,0.5,-0.18286992062632917,0.8266250551211614,-0.05309670658986532,0.8110737098923648,sublime,0.6875,False
specific,ui_theming,downloads,32,1715,53461.94269314874,344484.0,0.0034767599031602075,0.04253296420516425,-0.004319042191666789,0.9759988013164203,sublime,0.6875,False
specific,ui_theming,rating,10,1001,-13.957769638767644,0.5105347633361816,-0.4044344558129116,0.05149771451152858,,,sublime,0.6875,False
specific,ui_ux_theming,stars,21,1728,-1329.5362103174605,-31.0,-0.16454059447659122,0.5324723293538665,-1.5832533852838186,4.151781998016932e-09,jetbrains,1.0,False
specific,ui_ux_theming,downloads,21,1726,-1962737.8413893953,1990731.0,-0.12765395679231897,0.002920163871849777,-0.07343537147602142,0.6738166799205215,jetbrains,1.0,False
specific,utilities_misc,stars,213,1536,-1477.3956957893195,-208.0,-0.18313794817298076,9.063458465775716e-07,-0.2969727279599885,0.00012763637483495733,minecraft,0.2112676056338028,False
specific,utilities_misc,downloads,212,1535,-61397.3127527507,-93906.5,-0.003992819243008197,0.685937311688252,-0.07110703023807263,0.15614971094834598,minecraft,0.2112676056338028,False
specific,utilities_misc,rating,144,867,0.4298825625523044,-0.29341803054809557,0.012446229803429243,0.1043052019459748,,,minecraft,0.2112676056338028,False
specific,vcs_collaboration,stars,3,1746,-672.9650630011456,900.5,-0.08327184417026302,0.12424370741205354,0.20702642931006965,0.7334741122461637,jetbrains,0.3333333333333333,True
specific,vcs_collaboration,downloads,3,1744,4813250.056383792,14727790.5,0.3130436218729317,0.09342234863259169,0.6642710152116085,0.09087613310873893,jetbrains,0.3333333333333333,True
specific,world_generation,stars,7,1742,-2214.387649663769,-352.0,-0.27404495164872816,0.010305504363633446,-0.35842426131621696,0.4869865024880975,minecraft,1.0,True
specific,world_generation,downloads,7,1740,4955462.011740558,10194856.5,0.32233256965761137,0.005272418845616189,-0.48216652577557195,0.14789972056779124,minecraft,1.0,True
specific,world_generation,rating,7,1004,-18.395318637630396,-4.200487383270264,-0.5331089227641869,0.0018463560898132987,,,minecraft,1.0,True
